Step, Time, Epot, Ekin, Etot
200, 8.000000, -595114.977099, 5784.015186, -589330.961912
201, 8.040000, -595206.489955, 5761.141307, -589445.348648
202, 8.080000, -595622.180096, 5803.451310, -589818.728785
203, 8.120000, -598020.758093, 5864.201945, -592156.556148
204, 8.160000, -599382.809886, 5911.752143, -593471.057744
205, 8.200000, -599135.418552, 5930.155624, -593205.262928
206, 8.240000, -596276.093804, 5896.135376, -590379.958428
207, 8.280000, -595398.947334, 5826.809196, -589572.138138
208, 8.320000, -595332.025073, 5770.664291, -589561.360782
209, 8.360000, -595947.047362, 5777.275678, -590169.771684
210, 8.400000, -596468.844445, 5790.175259, -590678.669186
211, 8.440000, -596302.890742, 5838.118909, -590464.771833
212, 8.480000, -595388.919944, 5871.320075, -589517.599868
213, 8.520000, -594556.017166, 5927.700429, -588628.316737
214, 8.560000, -595148.540235, 5915.673425, -589232.866810
215, 8.600000, -593903.689882, 5879.228996, -588024.460886
216, 8.640000, -595233.027332, 5817.823488, -589415.203844
217, 8.680000, -593183.758497, 5790.263237, -587393.495260
218, 8.720000, -595427.353861, 5814.101230, -589613.252631
219, 8.760000, -594601.919421, 5879.444739, -588722.474681
220, 8.800000, -595256.122572, 5936.232941, -589319.889631
221, 8.840000, -600013.781364, 5962.966844, -594050.814520
222, 8.880000, -595671.716745, 5956.016210, -589715.700535
223, 8.920000, -597345.930187, 5960.174402, -591385.755785
224, 8.960000, -596985.413782, 5948.606607, -591036.807175
225, 9.000000, -595814.767073, 5969.162309, -589845.604764
226, 9.040000, -596306.609011, 5986.824116, -590319.784894
227, 9.080000, -599038.400269, 6007.648721, -593030.751548
228, 9.120000, -596658.353299, 6018.750002, -590639.603297
229, 9.160000, -595481.266192, 5985.363801, -589495.902391
230, 9.200000, -592989.747474, 5967.919536, -587021.827938
231, 9.240000, -592664.319630, 5971.350357, -586692.969273
232, 9.280000, -592885.690758, 6018.985075, -586866.705683
233, 9.320000, -591451.443124, 6099.433434, -585352.009690
234, 9.360000, -594894.023756, 6099.437326, -588794.586430
